symbol,total_return_pct,sharpe_ratio,profit_factor,win_rate_pct,total_trades,winning_trades,losing_trades,avg_win,avg_loss,max_drawdown_pct,expectancy,total_pnl,final_equity,initial_capital,error
MNQ,21.055,0.26806090491985696,2.350112215453671,50.0,30,15,15,244.33333333333334,103.96666666666667,-3.838929863942462,70.18333333333334,2105.5,12105.5,10000.0,
MET,6.995,0.39879341468473567,2.4370208105147864,56.25,16,9,7,123.61111111111111,65.21428571428571,-2.64670369475972,41.0,699.5,10699.5,10000.0,
MES,5.800000000000001,0.13288258397497968,1.4280442804428044,40.0,35,14,21,138.21428571428572,64.52380952380952,-6.966040552307501,16.571428571428584,580.0,10580.0,10000.0,
MYM,5.7775,0.22065722132837237,1.9266238973536487,41.37931034482759,29,12,17,100.10416666666667,36.6764705882353,-2.6135592049992518,19.922413793103452,577.75,10577.75,10000.0,
MGC,0.22499999999994544,0.036711266893013655,1.1232876712328759,39.285714285714285,28,11,17,18.63636363636376,10.73529411764714,-1.0669190346923239,0.8035714285714288,22.499999999994543,10022.499999999995,10000.0,
MHG,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,'initial_capital'
MCL,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,'initial_capital'
SIL,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,'initial_capital'
M6A,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,'initial_capital'
M6E,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,'initial_capital'
MBT,-13.095,0.11680418827772081,0.8913818845388188,29.411764705882355,17,5,12,2149.3,1004.6666666666666,-72.545,-77.02941176470586,-1309.5,8690.5,10000.0,
