number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
0,-inf,2025-11-12 20:59:03.118990,2025-11-12 20:59:05.273352,0 days 00:00:02.154362,11,1.5580836121681996,4.73235229154987,12,117,0.5207805082202462,73.97987726295555,22.34027960663655,18,COMPLETE
1,-inf,2025-11-12 20:59:05.274351,2025-11-12 20:59:07.205614,0 days 00:00:01.931263,12,1.6834045098534338,3.6084844859190754,17,51,0.4673295021425665,77.48663961200633,23.185086660174143,20,COMPLETE
2,-inf,2025-11-12 20:59:07.206615,2025-11-12 20:59:09.087952,0 days 00:00:01.881337,14,1.956069984217036,4.570351922786028,13,70,0.23977164751085184,67.09240790978063,24.382169728028273,17,COMPLETE
3,-inf,2025-11-12 20:59:09.088956,2025-11-12 20:59:11.047983,0 days 00:00:01.959027,10,2.448885537253333,4.931264066149119,14,92,0.6658781436815229,74.11317277852157,22.557861855309373,12,COMPLETE
4,-inf,2025-11-12 20:59:11.048984,2025-11-12 20:59:12.993997,0 days 00:00:01.945013,15,1.5343885211152184,4.818640804157564,11,56,0.2811459871200119,71.60228740609402,21.83057352267168,18,COMPLETE
5,-inf,2025-11-12 20:59:12.993997,2025-11-12 20:59:14.879218,0 days 00:00:01.885221,20,2.2751328233611146,4.8789978831283785,16,72,0.7263791452993542,73.2006541901492,22.772816832882906,16,COMPLETE
6,-inf,2025-11-12 20:59:14.880217,2025-11-12 20:59:16.787515,0 days 00:00:01.907298,13,1.8886772896894821,3.5426980635477916,15,115,0.6801162564063505,67.93974293628717,20.67840933365807,12,COMPLETE
7,-inf,2025-11-12 20:59:16.788516,2025-11-12 20:59:18.701434,0 days 00:00:01.912918,10,2.4868869366005173,4.544489538593314,12,69,0.2391009770739207,67.11386337462145,32.032954711310595,16,COMPLETE
8,-inf,2025-11-12 20:59:18.702434,2025-11-12 20:59:20.564031,0 days 00:00:01.861597,10,1.8584657285442727,3.2317381190502594,8,107,0.7041723981129155,75.9351075206148,31.569055200289185,18,COMPLETE
9,-inf,2025-11-12 20:59:20.565034,2025-11-12 20:59:22.430725,0 days 00:00:01.865691,18,2.1375574713552132,4.774425485152653,16,73,0.4305504476133646,69.66473482573494,24.877749830401207,12,COMPLETE
10,-inf,2025-11-12 20:59:22.431725,2025-11-12 20:59:24.355863,0 days 00:00:01.924138,17,1.5151442371027568,4.246753037258931,20,98,0.49938350541717835,78.98435512867681,27.820100177940517,14,COMPLETE
11,-inf,2025-11-12 20:59:24.355863,2025-11-12 20:59:26.263672,0 days 00:00:01.907809,12,1.7230949063825616,3.7998680255351363,19,51,0.4921748252122569,78.0555286952787,27.392965554755733,20,COMPLETE
12,-inf,2025-11-12 20:59:26.264671,2025-11-12 20:59:28.286243,0 days 00:00:02.021572,12,1.747424177602602,4.0194795978020785,18,117,0.39423218977247976,75.81564006274253,27.030578283317634,20,COMPLETE
13,-inf,2025-11-12 20:59:28.286243,2025-11-12 20:59:30.170399,0 days 00:00:01.884156,12,1.6774170778902615,3.3411565588177106,10,86,0.579853225690254,79.99043657962326,20.081785843303194,19,COMPLETE
14,-inf,2025-11-12 20:59:30.171400,2025-11-12 20:59:32.104008,0 days 00:00:01.932608,11,1.5725554640889534,3.714302759914968,17,104,0.3543845726623449,76.68258804240726,25.01504130776193,19,COMPLETE
15,-inf,2025-11-12 20:59:32.105010,2025-11-12 20:59:34.299405,0 days 00:00:02.194395,14,2.0849209355065974,3.031020763988454,9,59,0.5687369886052699,71.1277720654289,29.650870845377824,18,COMPLETE
16,-inf,2025-11-12 20:59:34.300406,2025-11-12 20:59:36.206347,0 days 00:00:01.905941,16,1.6600010955691695,4.1832578828175375,13,80,0.10922545006664669,74.38996887239702,23.824428216761774,15,COMPLETE
17,-inf,2025-11-12 20:59:36.207349,2025-11-12 20:59:38.187955,0 days 00:00:01.980606,13,1.820339735257917,4.4740191242553395,15,120,0.7937690153900521,77.52858813524581,26.352517940520656,20,COMPLETE
18,-inf,2025-11-12 20:59:38.188955,2025-11-12 20:59:40.152879,0 days 00:00:01.963924,11,1.6107234129775363,3.8960095163232884,11,87,0.576327680459925,65.09813121545729,29.062378242517987,19,COMPLETE
19,-inf,2025-11-12 20:59:40.152879,2025-11-12 20:59:42.076567,0 days 00:00:01.923688,14,2.0245242541198394,3.5410836885510557,18,62,0.33365712075067966,74.67717596207042,21.112319509070417,17,COMPLETE
20,-inf,2025-11-12 20:59:42.077566,2025-11-12 20:59:43.923860,0 days 00:00:01.846294,11,1.7768226878132112,4.221883997377959,14,108,0.5155194808324313,72.68258863783619,34.17643633383103,17,COMPLETE
21,-inf,2025-11-12 20:59:43.924860,2025-11-12 20:59:45.777848,0 days 00:00:01.852988,14,1.9191943168006493,4.589709201485855,13,77,0.16610566105625682,68.95931770248126,24.2388745505086,17,COMPLETE
22,-inf,2025-11-12 20:59:45.778848,2025-11-12 20:59:47.748592,0 days 00:00:01.969744,13,2.2006224446697495,4.404002953777211,12,65,0.43911188047550337,70.5811480501401,23.34942973240883,15,COMPLETE
23,-inf,2025-11-12 20:59:47.749592,2025-11-12 20:59:49.638396,0 days 00:00:01.888804,15,1.9642917999415186,4.636788813745898,13,56,0.2704570081208361,65.27468297135768,25.67364093682178,18,COMPLETE
24,-inf,2025-11-12 20:59:49.639396,2025-11-12 20:59:51.570551,0 days 00:00:01.931155,12,1.6355229052790294,4.050725111078952,11,51,0.3598031818223788,66.92271763337202,22.13356436915238,19,COMPLETE
25,-inf,2025-11-12 20:59:51.570551,2025-11-12 20:59:53.508652,0 days 00:00:01.938101,15,2.382954109337735,4.706602529639006,15,94,0.16670537223160484,75.1881673314141,23.82013995951084,17,COMPLETE
26,-inf,2025-11-12 20:59:53.509650,2025-11-12 20:59:55.508401,0 days 00:00:01.998751,13,1.5059252810367645,4.412760287037544,17,80,0.6152769873254449,73.60930793266968,21.463042765477052,15,COMPLETE
27,-inf,2025-11-12 20:59:55.509399,2025-11-12 20:59:57.495988,0 days 00:00:01.986589,11,2.0429659174125283,4.9790841528149,12,66,0.5266454291452467,71.98588213777236,25.58232956853944,20,COMPLETE
28,-inf,2025-11-12 20:59:57.495988,2025-11-12 20:59:59.442006,0 days 00:00:01.946018,16,1.817707774336592,3.5321102452071464,9,75,0.407657287860205,77.10542634825204,23.020646397864432,19,COMPLETE
29,-inf,2025-11-12 20:59:59.443006,2025-11-12 21:00:01.395160,0 days 00:00:01.952154,10,1.7000541476661484,3.652853810084865,14,90,0.30759255529847074,79.25358990861487,22.47311711891675,13,COMPLETE
30,-inf,2025-11-12 21:00:01.396160,2025-11-12 21:00:03.669214,0 days 00:00:02.273054,19,1.5855695070643248,3.4001601209739363,20,100,0.6313589512697461,70.02690728939096,20.03461289069137,16,COMPLETE
31,-inf,2025-11-12 21:00:03.670214,2025-11-12 21:00:05.661036,0 days 00:00:01.990822,10,2.2987787899835213,4.958043928825152,14,113,0.4611971154553403,73.90877716647003,21.777265594443914,18,COMPLETE
32,-inf,2025-11-12 21:00:05.662036,2025-11-12 21:00:07.541605,0 days 00:00:01.879569,11,2.4805898552095695,4.801461702287849,16,92,0.7935221065542917,72.37048860130385,22.838291641871894,14,COMPLETE
33,-inf,2025-11-12 21:00:07.541605,2025-11-12 21:00:09.543938,0 days 00:00:02.002333,12,2.197946860974196,4.80448232015785,13,83,0.6658863076485273,75.66196580376457,24.50871719548052,17,COMPLETE
34,-inf,2025-11-12 21:00:09.544939,2025-11-12 21:00:11.441883,0 days 00:00:01.896944,10,1.9490312356459736,4.881005109806174,14,69,0.7382979730358468,73.21417129711807,21.03551214436676,16,COMPLETE
35,-inf,2025-11-12 21:00:11.442883,2025-11-12 21:00:13.312511,0 days 00:00:01.869628,13,2.3481798278341217,4.640384928617937,12,56,0.7369953696900069,71.53117041742631,22.08635245529401,13,COMPLETE
36,-inf,2025-11-12 21:00:13.312511,2025-11-12 21:00:15.298959,0 days 00:00:01.986448,14,1.8601494358410429,4.498706151589263,15,96,0.21626885811623275,68.53770627873496,23.284787675507342,18,COMPLETE
37,-inf,2025-11-12 21:00:15.299959,2025-11-12 21:00:17.598053,0 days 00:00:02.298094,10,2.155302029820352,4.348211278500703,10,111,0.6478513587549505,66.55291102182869,25.935893426090004,12,COMPLETE
38,-inf,2025-11-12 21:00:17.599054,2025-11-12 21:00:19.571297,0 days 00:00:01.972243,11,2.404763269189801,4.713675353979103,15,101,0.5487263475792813,76.42582250670368,20.81239016896944,16,COMPLETE
39,-inf,2025-11-12 21:00:19.571297,2025-11-12 21:00:21.570931,0 days 00:00:01.999634,16,1.556414374880301,4.89427581346553,17,69,0.48902303716274986,77.97061064961242,28.428657232154663,14,COMPLETE
40,-inf,2025-11-12 21:00:21.571859,2025-11-12 21:00:23.498035,0 days 00:00:01.926176,12,1.7915377145957327,3.123240634811581,16,60,0.6080211581613648,74.61642896578675,25.121911397198733,13,COMPLETE
41,-inf,2025-11-12 21:00:23.499035,2025-11-12 21:00:25.508807,0 days 00:00:02.009772,18,1.5513862214056087,4.823128765788383,11,54,0.2735856500339479,67.8613448679332,22.352554625509924,18,COMPLETE
42,-inf,2025-11-12 21:00:25.508807,2025-11-12 21:00:27.382945,0 days 00:00:01.874138,15,1.7323801902549638,4.706449190341735,10,63,0.38360615707240736,72.80256662617172,23.64316976755987,17,COMPLETE
43,-inf,2025-11-12 21:00:27.383945,2025-11-12 21:00:29.327933,0 days 00:00:01.943988,17,1.5223215707264501,4.9273495051416685,12,51,0.22458611663971256,66.01305220654369,21.494518318061854,18,COMPLETE
44,-inf,2025-11-12 21:00:29.328932,2025-11-12 21:00:31.293866,0 days 00:00:01.964934,15,1.6261791931283223,4.576866899367967,11,71,0.29143549080516695,71.01621534193914,24.22854253537256,19,COMPLETE
