number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
0,10.33877045461379,2025-11-12 18:57:34.365458,2025-11-12 18:57:40.647014,0 days 00:00:06.281556,11,1.5871254182522991,5.598528437324806,17,97,0.7207805082202461,73.97987726295555,22.34027960663655,18,COMPLETE
1,15.437705071603176,2025-11-12 18:57:40.648009,2025-11-12 18:57:47.862480,0 days 00:00:07.214471,12,1.7751067647801508,3.912726728878613,24,41,0.6673295021425665,77.48663961200633,23.185086660174143,20,COMPLETE
2,5.822050681464507,2025-11-12 18:57:47.862480,2025-11-12 18:57:54.125393,0 days 00:00:06.262913,14,2.184104976325554,5.355527884179041,19,57,0.4397716475108518,67.09240790978063,24.382169728028273,16,COMPLETE
3,4.078149674110137,2025-11-12 18:57:54.126393,2025-11-12 18:58:00.601789,0 days 00:00:06.475396,10,2.92332830588,5.896896099223678,20,76,0.8658781436815228,74.11317277852157,22.557861855309373,10,COMPLETE
4,11.581447074747997,2025-11-12 18:58:00.602792,2025-11-12 18:58:07.212139,0 days 00:00:06.609347,15,1.5515827816728276,5.727961206236346,16,45,0.48114598712001183,71.60228740609402,21.83057352267168,17,COMPLETE
5,8.376269616845772,2025-11-12 18:58:07.212139,2025-11-12 18:58:13.505909,0 days 00:00:06.293770,20,2.662699235041672,5.818496824692567,23,59,0.9263791452993542,73.2006541901492,22.772816832882906,15,COMPLETE
6,-inf,2025-11-12 18:58:13.506909,2025-11-12 18:58:20.020221,0 days 00:00:06.513312,13,2.083015934534223,3.814047095321688,22,96,0.8801162564063505,67.93974293628717,20.67840933365807,10,COMPLETE
7,-inf,2025-11-12 18:58:20.021220,2025-11-12 18:58:26.729948,0 days 00:00:06.708728,10,2.980330404900776,5.3167343078899725,17,57,0.43910097707392065,67.11386337462145,32.032954711310595,15,COMPLETE
8,-inf,2025-11-12 18:58:26.730946,2025-11-12 18:58:33.086953,0 days 00:00:06.356007,10,2.037698592816409,3.347607178575389,10,89,0.9041723981129155,75.9351075206148,31.569055200289185,17,COMPLETE
9,7.185529249809312,2025-11-12 18:58:33.087953,2025-11-12 18:58:39.368862,0 days 00:00:06.280909,18,2.4563362070328196,5.66163822772898,23,60,0.6305504476133645,69.66473482573494,24.877749830401207,10,COMPLETE
10,7.772773821602666,2025-11-12 18:58:39.369864,2025-11-12 18:58:45.630965,0 days 00:00:06.261101,17,1.8831651881477984,4.212078216055934,30,40,0.6355066209151634,79.28871216276126,28.185774201233233,20,COMPLETE
11,7.98096782615837,2025-11-12 18:58:45.631965,2025-11-12 18:58:51.982231,0 days 00:00:06.350266,16,1.5175982358103683,4.719872932953687,28,40,0.3081291600591508,78.82833885472199,26.843479796248676,20,COMPLETE
12,12.802725958528692,2025-11-12 18:58:51.982231,2025-11-12 18:58:58.645502,0 days 00:00:06.663271,13,1.7703899963424263,4.7225046595930955,12,48,0.5135511960552741,70.37496796560588,20.410515495559032,18,COMPLETE
13,9.658267312758477,2025-11-12 18:58:58.646501,2025-11-12 18:59:05.006845,0 days 00:00:06.360344,12,1.8456610427769624,4.786731221408215,10,49,0.749461560227358,76.99883825452568,20.03885077873297,19,COMPLETE
14,5.987831084153406,2025-11-12 18:59:05.007847,2025-11-12 18:59:11.161623,0 days 00:00:06.153776,13,1.8544206786086361,4.154903709367159,13,70,0.5474217358820228,70.59887514838525,25.505585773155833,13,COMPLETE
15,-inf,2025-11-12 18:59:11.162623,2025-11-12 18:59:17.350512,0 days 00:00:06.187889,12,1.726857138104212,3.0301972569375186,26,51,0.7584048834612431,65.16483783865657,29.606417877149365,18,COMPLETE
16,-inf,2025-11-12 18:59:17.351512,2025-11-12 18:59:23.403372,0 days 00:00:06.051860,14,2.2819075647600786,3.609524784084656,26,67,0.5508731993533793,75.83017098141903,23.825856038208443,13,COMPLETE
17,19.22853011036058,2025-11-12 18:59:23.404372,2025-11-12 18:59:29.845045,0 days 00:00:06.440673,12,1.746083303965845,4.993236825929828,14,77,0.33840181615369413,69.44037270547798,20.09303814689015,20,COMPLETE
18,8.738522840487988,2025-11-12 18:59:29.845045,2025-11-12 18:59:35.869880,0 days 00:00:06.024835,12,2.3459620485321495,5.07033459722484,14,80,0.3175038643207054,78.11885228152519,27.21090155894303,20,COMPLETE
19,8.946863942707823,2025-11-12 18:59:35.870881,2025-11-12 18:59:41.951776,0 days 00:00:06.080895,15,2.0213172437079026,4.2767463288537595,20,79,0.3630727734240991,72.48052286793421,25.949961251680012,19,COMPLETE
20,7.1771538801744565,2025-11-12 18:59:41.951776,2025-11-12 18:59:47.918883,0 days 00:00:05.967107,11,1.6564151838122836,3.9154370182260516,25,89,0.9956899495347962,69.03311022980435,33.92154302349308,13,COMPLETE
21,10.96053359387314,2025-11-12 18:59:47.919884,2025-11-12 18:59:53.918923,0 days 00:00:05.999039,13,1.7258055866947013,4.564482798336038,13,49,0.5163280502931713,71.40147958012368,21.05761367165245,19,COMPLETE
22,11.935131244441573,2025-11-12 18:59:53.919923,2025-11-12 18:59:59.954158,0 days 00:00:06.034235,14,1.9271644084671569,5.069783164920468,12,65,0.39251779400991776,69.38437068152786,23.40190020789775,18,COMPLETE
23,15.599850782091524,2025-11-12 18:59:59.955158,2025-11-12 19:00:06.582330,0 days 00:00:06.627172,11,1.7536603138696691,4.929825299886406,15,75,0.591539287859995,65.27468297135768,20.07005476858833,20,COMPLETE
24,16.06844935721233,2025-11-12 19:00:06.583330,2025-11-12 19:00:12.839715,0 days 00:00:06.256385,11,1.6675706859837174,4.9757920013552726,15,73,0.6689347875732456,65.58169242120859,21.972072488642812,20,COMPLETE
25,15.525253929106771,2025-11-12 19:00:12.840716,2025-11-12 19:00:18.826962,0 days 00:00:05.986246,11,1.6213171621664138,5.1009386513685575,16,74,0.5936375447211347,65.52641226100295,21.41105886092096,19,COMPLETE
26,12.528191248167778,2025-11-12 19:00:18.827961,2025-11-12 19:00:24.797003,0 days 00:00:05.969042,11,1.9374996376391191,4.891836920961343,15,85,0.8114319704503242,66.28741566625489,21.785990114504376,17,COMPLETE
27,16.027997102264056,2025-11-12 19:00:24.797003,2025-11-12 19:00:30.866208,0 days 00:00:06.069205,10,2.1406642251405157,4.457223616529407,18,83,0.7224638386003559,66.95184665065314,20.011947257911032,20,COMPLETE
28,12.12422370894213,2025-11-12 19:00:30.867208,2025-11-12 19:00:37.065186,0 days 00:00:06.197978,10,2.4926539274315824,5.361367676362379,18,90,0.6864505787500486,67.7812119624004,21.44592581275516,19,COMPLETE
29,9.980460746182017,2025-11-12 19:00:37.065186,2025-11-12 19:00:43.261558,0 days 00:00:06.196372,10,2.181332527351775,4.414535014309583,17,82,0.7193972950495602,68.43596635884501,22.380906107695125,18,COMPLETE
