number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
0,30.52732366608479,2025-11-12 19:28:21.646879,2025-11-12 19:28:23.722938,0 days 00:00:02.076059,11,1.5871254182522991,5.598528437324806,17,97,0.9415610164404923,73.97987726295555,22.34027960663655,18,COMPLETE
1,3.4325798764619364,2025-11-12 19:28:23.723939,2025-11-12 19:28:25.832429,0 days 00:00:02.108490,12,1.7751067647801508,3.912726728878613,24,41,0.834659004285133,77.48663961200633,23.185086660174143,20,COMPLETE
2,8.2540706733983,2025-11-12 19:28:25.833425,2025-11-12 19:28:27.912347,0 days 00:00:02.078922,14,2.184104976325554,5.355527884179041,19,57,0.3795432950217036,67.09240790978063,24.382169728028273,16,COMPLETE
3,26.472971808691476,2025-11-12 19:28:27.913346,2025-11-12 19:28:30.033431,0 days 00:00:02.120085,10,2.92332830588,5.896896099223678,20,76,1.2317562873630457,74.11317277852157,22.557861855309373,10,COMPLETE
4,-0.2775937078236561,2025-11-12 19:28:30.034431,2025-11-12 19:28:32.301432,0 days 00:00:02.267001,15,1.5515827816728276,5.727961206236346,16,45,0.46229197424002366,71.60228740609402,21.83057352267168,17,COMPLETE
5,19.102307473381938,2025-11-12 19:28:32.302432,2025-11-12 19:28:34.360815,0 days 00:00:02.058383,20,2.662699235041672,5.818496824692567,23,59,1.3527582905987083,73.2006541901492,22.772816832882906,15,COMPLETE
6,-inf,2025-11-12 19:28:34.361813,2025-11-12 19:28:36.460339,0 days 00:00:02.098526,13,2.083015934534223,3.814047095321688,22,96,1.260232512812701,67.93974293628717,20.67840933365807,10,COMPLETE
7,-inf,2025-11-12 19:28:36.461345,2025-11-12 19:28:38.510267,0 days 00:00:02.048922,10,2.980330404900776,5.3167343078899725,17,57,0.3782019541478413,67.11386337462145,32.032954711310595,15,COMPLETE
8,-inf,2025-11-12 19:28:38.511270,2025-11-12 19:28:40.484885,0 days 00:00:01.973615,10,2.037698592816409,3.347607178575389,10,89,1.308344796225831,75.9351075206148,31.569055200289185,17,COMPLETE
9,53.06301411883841,2025-11-12 19:28:40.485885,2025-11-12 19:28:42.586694,0 days 00:00:02.100809,18,2.4563362070328196,5.66163822772898,23,60,0.761100895226729,69.66473482573494,24.877749830401207,10,COMPLETE
10,-inf,2025-11-12 19:28:42.587696,2025-11-12 19:28:44.652906,0 days 00:00:02.065210,18,2.4815647841561295,4.8561540962826415,30,74,0.6208060567817125,70.20276337109932,27.537968265121947,12,COMPLETE
11,-inf,2025-11-12 19:28:44.653904,2025-11-12 19:28:46.827714,0 days 00:00:02.173810,18,2.453262589959459,4.719872932953687,27,85,0.9283570903020836,70.18300858975205,26.51534407634617,20,COMPLETE
12,1.091487834401205,2025-11-12 19:28:46.827714,2025-11-12 19:28:48.829110,0 days 00:00:02.001396,17,1.8302904053420244,5.152297566081471,13,64,1.018562958013208,79.93487115703331,26.257586431425324,13,COMPLETE
13,-inf,2025-11-12 19:28:48.829110,2025-11-12 19:28:50.954085,0 days 00:00:02.124975,16,2.3808175187218032,4.301994772474574,15,99,0.6853970662788745,65.10271295364156,28.300065559384798,18,COMPLETE
14,42.27813547056327,2025-11-12 19:28:50.955086,2025-11-12 19:28:53.047034,0 days 00:00:02.091948,20,1.5556742374349648,5.391557270483676,26,68,1.0685679536772494,74.58676371144539,24.80995595714456,12,COMPLETE
15,-inf,2025-11-12 19:28:53.048034,2025-11-12 19:28:55.166098,0 days 00:00:02.118064,20,2.6940121685612626,5.011635427814658,26,68,1.0728607611338148,75.90235707531141,29.606417877149365,12,COMPLETE
16,39.15366524909996,2025-11-12 19:28:55.166098,2025-11-12 19:28:57.219008,0 days 00:00:02.052910,19,1.9645511695750746,4.3691802774128,30,48,0.11845090013329296,70.82383982498916,24.919779822026932,13,COMPLETE
17,-inf,2025-11-12 19:28:57.220010,2025-11-12 19:28:59.247999,0 days 00:00:02.027989,18,2.2601643853075006,5.998447545527036,27,81,1.4713926019989052,69.25423087778798,29.74071233583409,11,COMPLETE
