number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
0,9.975209281106014,2025-11-12 19:20:54.243523,2025-11-12 19:20:57.071938,0 days 00:00:02.828415,11,1.5871254182522991,5.598528437324806,17,97,0.9415610164404923,73.97987726295555,22.34027960663655,18,COMPLETE
1,6.904857950259895,2025-11-12 19:20:57.071938,2025-11-12 19:20:59.981687,0 days 00:00:02.909749,12,1.7751067647801508,3.912726728878613,24,41,0.834659004285133,77.48663961200633,23.185086660174143,20,COMPLETE
2,3.9832643011158355,2025-11-12 19:20:59.981687,2025-11-12 19:21:02.970420,0 days 00:00:02.988733,14,2.184104976325554,5.355527884179041,19,57,0.3795432950217036,67.09240790978063,24.382169728028273,16,COMPLETE
3,6.3511724440035735,2025-11-12 19:21:02.970420,2025-11-12 19:21:06.402782,0 days 00:00:03.432362,10,2.92332830588,5.896896099223678,20,76,1.2317562873630457,74.11317277852157,22.557861855309373,10,COMPLETE
4,7.056983405650697,2025-11-12 19:21:06.402782,2025-11-12 19:21:09.604892,0 days 00:00:03.202110,15,1.5515827816728276,5.727961206236346,16,45,0.46229197424002366,71.60228740609402,21.83057352267168,17,COMPLETE
5,1.9941906762024675,2025-11-12 19:21:09.605892,2025-11-12 19:21:13.564840,0 days 00:00:03.958948,20,2.662699235041672,5.818496824692567,23,59,1.3527582905987083,73.2006541901492,22.772816832882906,15,COMPLETE
6,-inf,2025-11-12 19:21:13.565839,2025-11-12 19:21:17.310502,0 days 00:00:03.744663,13,2.083015934534223,3.814047095321688,22,96,1.260232512812701,67.93974293628717,20.67840933365807,10,COMPLETE
7,-inf,2025-11-12 19:21:17.311502,2025-11-12 19:21:20.233539,0 days 00:00:02.922037,10,2.980330404900776,5.3167343078899725,17,57,0.3782019541478413,67.11386337462145,32.032954711310595,15,COMPLETE
8,-inf,2025-11-12 19:21:20.234539,2025-11-12 19:21:23.163936,0 days 00:00:02.929397,10,2.037698592816409,3.347607178575389,10,89,1.308344796225831,75.9351075206148,31.569055200289185,17,COMPLETE
9,5.479655559020085,2025-11-12 19:21:23.163936,2025-11-12 19:21:27.159639,0 days 00:00:03.995703,18,2.4563362070328196,5.66163822772898,23,60,0.761100895226729,69.66473482573494,24.877749830401207,10,COMPLETE
10,13.321664363954287,2025-11-12 19:21:27.159639,2025-11-12 19:21:31.053617,0 days 00:00:03.893978,17,1.5227163556541352,4.870129555888396,29,81,0.8987670108343566,78.98435512867681,27.820100177940517,20,COMPLETE
11,10.134027240802391,2025-11-12 19:21:31.055618,2025-11-12 19:21:34.015766,0 days 00:00:02.960148,17,1.5165335902477184,4.719872932953687,30,82,0.9283570903020836,79.42008157165198,28.413600527235303,20,COMPLETE
12,13.488976646765131,2025-11-12 19:21:34.015766,2025-11-12 19:21:37.033294,0 days 00:00:03.017528,17,1.8177160350373396,4.631495893203101,30,79,0.9837459509120633,79.98141960972539,27.890375167957977,20,COMPLETE
13,10.383211756994253,2025-11-12 19:21:37.034295,2025-11-12 19:21:39.977243,0 days 00:00:02.942948,17,1.8623323994705099,4.721004666137141,30,71,0.6487003308798542,79.99043657962326,28.188501474518013,13,COMPLETE
14,12.693656832448083,2025-11-12 19:21:39.978242,2025-11-12 19:21:43.375446,0 days 00:00:03.397204,19,1.7758424561843127,4.226394349772228,27,83,1.086897915642115,77.77593961773321,34.91261533090882,19,COMPLETE
15,5.882783810117203,2025-11-12 19:21:43.376446,2025-11-12 19:21:46.633231,0 days 00:00:03.256785,16,1.9287168349136479,5.011635427814658,27,69,0.5714091667315258,76.52166856543248,26.600552890178356,19,COMPLETE
16,-inf,2025-11-12 19:21:46.634231,2025-11-12 19:21:49.623923,0 days 00:00:02.989692,15,2.3451206839009147,4.328854869692839,27,88,0.11845090013329296,78.15543114341715,29.90898868742687,13,COMPLETE
17,13.852008796740055,2025-11-12 19:21:49.624925,2025-11-12 19:21:52.519847,0 days 00:00:02.894922,18,1.692508498299453,4.918643129144858,30,75,1.4847284028806542,75.43298407563428,26.334970852152313,20,COMPLETE
18,6.2637593086774155,2025-11-12 19:21:52.519847,2025-11-12 19:21:55.450229,0 days 00:00:02.930382,20,1.7219310627078017,5.1764095660159155,12,66,1.4732100374727934,71.49118416770737,26.411579981405882,18,COMPLETE
19,6.511611887178443,2025-11-12 19:21:55.450229,2025-11-12 19:21:58.395434,0 days 00:00:02.945205,18,1.9792883631929101,4.433595924141113,25,76,1.1033777499241768,75.51443672842275,29.675227085951104,12,COMPLETE
20,-inf,2025-11-12 19:21:58.396433,2025-11-12 19:22:01.265925,0 days 00:00:02.869492,19,2.1922281594438875,3.03486288488266,28,88,1.4913798990695923,74.88749524505255,25.01603372240699,19,COMPLETE
21,13.946805614472133,2025-11-12 19:22:01.266925,2025-11-12 19:22:04.130579,0 days 00:00:02.863654,17,1.6989369090953832,4.827398491471356,30,77,1.0971394643771837,78.6892207030874,26.768065124066887,20,COMPLETE
22,9.26556251711317,2025-11-12 19:22:04.131580,2025-11-12 19:22:06.979851,0 days 00:00:02.848271,16,1.694846283460835,4.0933297535711075,26,75,1.1243519672065436,76.79096048753551,26.218676048475828,18,COMPLETE
23,9.4202400469857,2025-11-12 19:22:06.980849,2025-11-12 19:22:09.922658,0 days 00:00:02.941809,18,1.6475559874876633,4.681230658923382,30,65,1.0305793802732386,65.27468297135768,29.476731210313403,20,COMPLETE
24,12.536312040018174,2025-11-12 19:22:09.923658,2025-11-12 19:22:12.847172,0 days 00:00:02.923514,16,1.8578513426181305,4.586554948251721,28,79,1.3874446345706444,78.64652892216048,31.315666317860796,19,COMPLETE
25,9.268628584537847,2025-11-12 19:22:12.848175,2025-11-12 19:22:15.653280,0 days 00:00:02.805105,19,1.8409706288731225,4.9988778623143935,25,71,1.1823062583424873,77.16851745827898,26.77574980230606,17,COMPLETE
26,9.560726200738745,2025-11-12 19:22:15.654280,2025-11-12 19:22:18.543568,0 days 00:00:02.889288,15,2.0931612021426957,5.212295169789029,29,51,0.7312814952312123,79.76519179537543,25.061494310116508,20,COMPLETE
27,12.25894139492383,2025-11-12 19:22:18.544569,2025-11-12 19:22:21.438965,0 days 00:00:02.894396,17,1.6666690850115564,3.7109928275957014,28,85,0.9752199346169196,78.3573783940928,28.764256962770734,18,COMPLETE
28,8.259285984150166,2025-11-12 19:22:21.439965,2025-11-12 19:22:24.399980,0 days 00:00:02.960015,18,2.328956375555092,5.4479447773503455,21,64,1.3531186585191979,74.86835017778581,24.168506325648355,19,COMPLETE
