number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
0,16.3875506695473,2025-11-12 19:19:15.719324,2025-11-12 19:19:17.639452,0 days 00:00:01.920128,11,1.5871254182522991,5.598528437324806,17,97,0.9415610164404923,73.97987726295555,22.34027960663655,18,COMPLETE
1,13.335993867870851,2025-11-12 19:19:17.640452,2025-11-12 19:19:19.571254,0 days 00:00:01.930802,12,1.7751067647801508,3.912726728878613,24,41,0.834659004285133,77.48663961200633,23.185086660174143,20,COMPLETE
2,15.446331858446396,2025-11-12 19:19:19.572258,2025-11-12 19:19:21.523303,0 days 00:00:01.951045,14,2.184104976325554,5.355527884179041,19,57,0.3795432950217036,67.09240790978063,24.382169728028273,16,COMPLETE
3,7.378543937685824,2025-11-12 19:19:21.524302,2025-11-12 19:19:23.459603,0 days 00:00:01.935301,10,2.92332830588,5.896896099223678,20,76,1.2317562873630457,74.11317277852157,22.557861855309373,10,COMPLETE
4,13.190262154209874,2025-11-12 19:19:23.460604,2025-11-12 19:19:25.434548,0 days 00:00:01.973944,15,1.5515827816728276,5.727961206236346,16,45,0.46229197424002366,71.60228740609402,21.83057352267168,17,COMPLETE
5,13.868838337650793,2025-11-12 19:19:25.435547,2025-11-12 19:19:27.376172,0 days 00:00:01.940625,20,2.662699235041672,5.818496824692567,23,59,1.3527582905987083,73.2006541901492,22.772816832882906,15,COMPLETE
6,-inf,2025-11-12 19:19:27.377172,2025-11-12 19:19:29.306124,0 days 00:00:01.928952,13,2.083015934534223,3.814047095321688,22,96,1.260232512812701,67.93974293628717,20.67840933365807,10,COMPLETE
7,-inf,2025-11-12 19:19:29.306124,2025-11-12 19:19:31.295806,0 days 00:00:01.989682,10,2.980330404900776,5.3167343078899725,17,57,0.3782019541478413,67.11386337462145,32.032954711310595,15,COMPLETE
8,-inf,2025-11-12 19:19:31.296806,2025-11-12 19:19:33.300971,0 days 00:00:02.004165,10,2.037698592816409,3.347607178575389,10,89,1.308344796225831,75.9351075206148,31.569055200289185,17,COMPLETE
9,9.147357148952942,2025-11-12 19:19:33.301971,2025-11-12 19:19:35.296152,0 days 00:00:01.994181,18,2.4563362070328196,5.66163822772898,23,60,0.761100895226729,69.66473482573494,24.877749830401207,10,COMPLETE
10,10.635059921042822,2025-11-12 19:19:35.296152,2025-11-12 19:19:37.207185,0 days 00:00:01.911033,17,1.5227163556541352,4.870129555888396,29,81,0.8987670108343566,78.98435512867681,27.820100177940517,20,COMPLETE
11,16.138636323155538,2025-11-12 19:19:37.208186,2025-11-12 19:19:39.163888,0 days 00:00:01.955702,13,1.8600998747079804,4.821552822099677,14,66,0.11266569824541856,66.09540959710604,26.51534407634617,17,COMPLETE
12,21.3647530216779,2025-11-12 19:19:39.164888,2025-11-12 19:19:41.130138,0 days 00:00:01.965250,12,1.8711362664039028,4.722271594311196,12,69,0.10817495219428915,65.19112647907257,27.771046002380682,18,COMPLETE
13,20.59136371588805,2025-11-12 19:19:41.130138,2025-11-12 19:19:43.119226,0 days 00:00:01.989088,12,1.7661256168353923,4.3677183777004736,11,99,1.019769106517399,71.11788247932432,28.734097340866292,13,COMPLETE
14,18.302598199954083,2025-11-12 19:19:43.119226,2025-11-12 19:19:45.164576,0 days 00:00:02.045350,12,1.8519869474189379,4.350704626523852,10,80,1.086897915642115,65.10259339581505,29.338472789967803,12,COMPLETE
