number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
0,6.69932215416212,2025-11-12 19:25:52.493183,2025-11-12 19:25:55.425285,0 days 00:00:02.932102,11,1.5871254182522991,5.598528437324806,17,97,0.9415610164404923,73.97987726295555,22.34027960663655,18,COMPLETE
1,6.678638907810574,2025-11-12 19:25:55.426287,2025-11-12 19:25:58.325412,0 days 00:00:02.899125,12,1.7751067647801508,3.912726728878613,24,41,0.834659004285133,77.48663961200633,23.185086660174143,20,COMPLETE
2,6.220416007111359,2025-11-12 19:25:58.326410,2025-11-12 19:26:01.226466,0 days 00:00:02.900056,14,2.184104976325554,5.355527884179041,19,57,0.3795432950217036,67.09240790978063,24.382169728028273,16,COMPLETE
3,5.182754300009899,2025-11-12 19:26:01.226466,2025-11-12 19:26:04.153743,0 days 00:00:02.927277,10,2.92332830588,5.896896099223678,20,76,1.2317562873630457,74.11317277852157,22.557861855309373,10,COMPLETE
4,3.5137873488147124,2025-11-12 19:26:04.153743,2025-11-12 19:26:07.076049,0 days 00:00:02.922306,15,1.5515827816728276,5.727961206236346,16,45,0.46229197424002366,71.60228740609402,21.83057352267168,17,COMPLETE
5,9.700204071236668,2025-11-12 19:26:07.077050,2025-11-12 19:26:10.099608,0 days 00:00:03.022558,20,2.662699235041672,5.818496824692567,23,59,1.3527582905987083,73.2006541901492,22.772816832882906,15,COMPLETE
6,-inf,2025-11-12 19:26:10.100608,2025-11-12 19:26:13.026129,0 days 00:00:02.925521,13,2.083015934534223,3.814047095321688,22,96,1.260232512812701,67.93974293628717,20.67840933365807,10,COMPLETE
7,-inf,2025-11-12 19:26:13.027128,2025-11-12 19:26:16.058976,0 days 00:00:03.031848,10,2.980330404900776,5.3167343078899725,17,57,0.3782019541478413,67.11386337462145,32.032954711310595,15,COMPLETE
8,-inf,2025-11-12 19:26:16.058976,2025-11-12 19:26:19.014495,0 days 00:00:02.955519,10,2.037698592816409,3.347607178575389,10,89,1.308344796225831,75.9351075206148,31.569055200289185,17,COMPLETE
9,8.185868415100257,2025-11-12 19:26:19.015494,2025-11-12 19:26:21.928303,0 days 00:00:02.912809,18,2.4563362070328196,5.66163822772898,23,60,0.761100895226729,69.66473482573494,24.877749830401207,10,COMPLETE
10,-inf,2025-11-12 19:26:21.929302,2025-11-12 19:26:24.892979,0 days 00:00:02.963677,19,2.595550342810514,4.818867084904704,30,75,1.4578544133005393,78.98435512867681,27.922576763609115,13,COMPLETE
