number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
0,9.122646306100421,2025-11-12 19:16:50.758700,2025-11-12 19:16:53.664862,0 days 00:00:02.906162,11,1.5871254182522991,5.598528437324806,17,97,0.9415610164404923,73.97987726295555,22.34027960663655,18,COMPLETE
1,16.223298484895476,2025-11-12 19:16:53.665863,2025-11-12 19:16:56.513629,0 days 00:00:02.847766,12,1.7751067647801508,3.912726728878613,24,41,0.834659004285133,77.48663961200633,23.185086660174143,20,COMPLETE
2,6.146487800003773,2025-11-12 19:16:56.514630,2025-11-12 19:16:59.512288,0 days 00:00:02.997658,14,2.184104976325554,5.355527884179041,19,57,0.3795432950217036,67.09240790978063,24.382169728028273,16,COMPLETE
3,7.840731385934642,2025-11-12 19:16:59.512288,2025-11-12 19:17:02.418627,0 days 00:00:02.906339,10,2.92332830588,5.896896099223678,20,76,1.2317562873630457,74.11317277852157,22.557861855309373,10,COMPLETE
4,16.388727735679975,2025-11-12 19:17:02.419626,2025-11-12 19:17:05.334095,0 days 00:00:02.914469,15,1.5515827816728276,5.727961206236346,16,45,0.46229197424002366,71.60228740609402,21.83057352267168,17,COMPLETE
5,9.078858943772287,2025-11-12 19:17:05.334095,2025-11-12 19:17:08.278972,0 days 00:00:02.944877,20,2.662699235041672,5.818496824692567,23,59,1.3527582905987083,73.2006541901492,22.772816832882906,15,COMPLETE
6,-inf,2025-11-12 19:17:08.279972,2025-11-12 19:17:11.137571,0 days 00:00:02.857599,13,2.083015934534223,3.814047095321688,22,96,1.260232512812701,67.93974293628717,20.67840933365807,10,COMPLETE
7,-inf,2025-11-12 19:17:11.138571,2025-11-12 19:17:14.107575,0 days 00:00:02.969004,10,2.980330404900776,5.3167343078899725,17,57,0.3782019541478413,67.11386337462145,32.032954711310595,15,COMPLETE
8,-inf,2025-11-12 19:17:14.107575,2025-11-12 19:17:16.996218,0 days 00:00:02.888643,10,2.037698592816409,3.347607178575389,10,89,1.308344796225831,75.9351075206148,31.569055200289185,17,COMPLETE
9,10.682074095660285,2025-11-12 19:17:16.997219,2025-11-12 19:17:19.910613,0 days 00:00:02.913394,18,2.4563362070328196,5.66163822772898,23,60,0.761100895226729,69.66473482573494,24.877749830401207,10,COMPLETE
10,5.6738676009067674,2025-11-12 19:17:19.911615,2025-11-12 19:17:22.815981,0 days 00:00:02.904366,16,1.522690223870077,4.84068665851222,29,40,0.166349409703537,70.66927324947804,28.042828830466394,13,COMPLETE
11,12.755812695116559,2025-11-12 19:17:22.816980,2025-11-12 19:17:25.716707,0 days 00:00:02.899727,16,1.799243128825322,4.2813369168999955,12,40,0.7401983439794568,78.82833885472199,26.843479796248676,20,COMPLETE
12,13.885367793203422,2025-11-12 19:17:25.717707,2025-11-12 19:17:28.568860,0 days 00:00:02.851153,13,1.8085886746267101,4.422848047996623,28,48,0.5271023921105481,79.97988510981277,20.410515495559032,20,COMPLETE
13,13.229236012525227,2025-11-12 19:17:28.569859,2025-11-12 19:17:31.382658,0 days 00:00:02.812799,12,1.7957253540451381,3.8163005941927777,14,72,0.998923120454716,76.99883825452568,28.17771106302049,18,COMPLETE
14,7.0689706805941634,2025-11-12 19:17:31.382658,2025-11-12 19:17:34.292584,0 days 00:00:02.909926,15,1.6542185528224005,4.888621136655357,25,48,0.5948434717640456,71.24047200376097,25.51068330830024,19,COMPLETE
15,-inf,2025-11-12 19:17:34.292584,2025-11-12 19:17:37.173701,0 days 00:00:02.881117,18,1.9336016496524535,3.0301972569375186,26,51,1.001978940063607,65.16483783865657,29.606417877149365,13,COMPLETE
16,-inf,2025-11-12 19:17:37.174704,2025-11-12 19:17:40.048798,0 days 00:00:02.874094,14,2.4473399740623303,4.0093319324315,15,65,0.11845090013329296,75.83017098141903,20.065482195869937,18,COMPLETE
17,11.515952928013219,2025-11-12 19:17:40.048798,2025-11-12 19:17:42.934411,0 days 00:00:02.885613,12,1.7279549488133974,4.833926099366264,18,77,0.5830724803884866,72.20557212533899,23.68435843957892,13,COMPLETE
18,13.792622885357092,2025-11-12 19:17:42.934411,2025-11-12 19:17:45.793128,0 days 00:00:02.858717,17,1.5056843382265754,3.5127885226174556,21,45,0.3301554326539797,78.11885228152519,21.77156104776479,17,COMPLETE
19,7.82886814046403,2025-11-12 19:17:45.794128,2025-11-12 19:17:48.633786,0 days 00:00:02.839658,20,1.9058845149183226,5.2010112094555545,26,52,0.8435669221825899,75.14164963170597,26.15330633883965,20,COMPLETE
20,-inf,2025-11-12 19:17:48.634786,2025-11-12 19:17:51.476100,0 days 00:00:02.841314,15,2.3679273735728033,4.105152886321907,30,44,1.4913798990695923,69.03311022980435,33.92154302349308,19,COMPLETE
21,14.475616978016964,2025-11-12 19:17:51.477099,2025-11-12 19:17:54.335509,0 days 00:00:02.858410,13,1.8818881032580812,4.495340495259623,28,52,0.5747616167633426,79.85462311778066,21.015773901838546,20,COMPLETE
22,14.844573220919145,2025-11-12 19:17:54.335509,2025-11-12 19:17:57.357220,0 days 00:00:03.021711,12,1.9752528168864347,4.573249184435049,27,52,0.4643288895697196,79.84191883298172,21.522832260617008,19,COMPLETE
23,13.21867667959183,2025-11-12 19:17:57.358220,2025-11-12 19:18:00.213194,0 days 00:00:02.854974,12,1.6696248914054903,3.6309171137310328,25,44,0.25695757040955847,77.93038418154778,23.729674785271083,19,COMPLETE
24,8.703855525726787,2025-11-12 19:18:00.214194,2025-11-12 19:18:03.156441,0 days 00:00:02.942247,11,2.055614072254512,5.05776230196677,15,65,0.4540917675939003,77.25785871254547,23.29025904283726,17,COMPLETE
