number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
0,10.096947471353172,2025-11-12 19:23:26.001712,2025-11-12 19:23:28.967588,0 days 00:00:02.965876,11,1.5871254182522991,5.598528437324806,17,97,0.9415610164404923,73.97987726295555,22.34027960663655,18,COMPLETE
1,9.821876318896397,2025-11-12 19:23:28.967588,2025-11-12 19:23:31.825621,0 days 00:00:02.858033,12,1.7751067647801508,3.912726728878613,24,41,0.834659004285133,77.48663961200633,23.185086660174143,20,COMPLETE
2,7.58841441450094,2025-11-12 19:23:31.825621,2025-11-12 19:23:34.699077,0 days 00:00:02.873456,14,2.184104976325554,5.355527884179041,19,57,0.3795432950217036,67.09240790978063,24.382169728028273,16,COMPLETE
3,2.4013789126246508,2025-11-12 19:23:34.699077,2025-11-12 19:23:37.562749,0 days 00:00:02.863672,10,2.92332830588,5.896896099223678,20,76,1.2317562873630457,74.11317277852157,22.557861855309373,10,COMPLETE
4,3.743177616842387,2025-11-12 19:23:37.562749,2025-11-12 19:23:40.411020,0 days 00:00:02.848271,15,1.5515827816728276,5.727961206236346,16,45,0.46229197424002366,71.60228740609402,21.83057352267168,17,COMPLETE
5,6.192066991866741,2025-11-12 19:23:40.412022,2025-11-12 19:23:43.297293,0 days 00:00:02.885271,20,2.662699235041672,5.818496824692567,23,59,1.3527582905987083,73.2006541901492,22.772816832882906,15,COMPLETE
6,-inf,2025-11-12 19:23:43.298600,2025-11-12 19:23:46.194963,0 days 00:00:02.896363,13,2.083015934534223,3.814047095321688,22,96,1.260232512812701,67.93974293628717,20.67840933365807,10,COMPLETE
7,-inf,2025-11-12 19:23:46.194963,2025-11-12 19:23:49.615468,0 days 00:00:03.420505,10,2.980330404900776,5.3167343078899725,17,57,0.3782019541478413,67.11386337462145,32.032954711310595,15,COMPLETE
8,-inf,2025-11-12 19:23:49.616466,2025-11-12 19:23:52.457222,0 days 00:00:02.840756,10,2.037698592816409,3.347607178575389,10,89,1.308344796225831,75.9351075206148,31.569055200289185,17,COMPLETE
9,3.8685324482543977,2025-11-12 19:23:52.458227,2025-11-12 19:23:55.612830,0 days 00:00:03.154603,18,2.4563362070328196,5.66163822772898,23,60,0.761100895226729,69.66473482573494,24.877749830401207,10,COMPLETE
10,3.3497460063821887,2025-11-12 19:23:55.613832,2025-11-12 19:23:58.472863,0 days 00:00:02.859031,17,1.5227163556541352,4.870129555888396,29,81,0.8987670108343566,78.98435512867681,27.820100177940517,20,COMPLETE
11,9.751152054440322,2025-11-12 19:23:58.473865,2025-11-12 19:24:01.321078,0 days 00:00:02.847213,12,1.8346423595738424,4.199802038302705,28,40,0.8843496504245139,78.0555286952787,27.392965554755733,20,COMPLETE
12,7.259585170429258,2025-11-12 19:24:01.322078,2025-11-12 19:24:04.242683,0 days 00:00:02.920605,12,1.8711362664039028,4.529219396703118,13,97,0.6884643795449594,75.81564006274253,27.030578283317634,19,COMPLETE
13,-inf,2025-11-12 19:24:04.242683,2025-11-12 19:24:07.109187,0 days 00:00:02.866504,12,1.7661256168353923,3.5117348382265656,27,71,1.059706451380508,79.99043657962326,20.081785843303194,18,COMPLETE
14,4.901614006656283,2025-11-12 19:24:07.110186,2025-11-12 19:24:10.082459,0 days 00:00:02.972273,11,1.6088331961334301,4.0714541398724515,25,86,0.6087691453246897,76.68258804240726,25.01504130776193,12,COMPLETE
15,-inf,2025-11-12 19:24:10.083459,2025-11-12 19:24:12.986464,0 days 00:00:02.903005,14,2.3773814032598963,3.0465311459826814,15,48,1.03747397721054,71.1277720654289,29.650870845377824,19,COMPLETE
16,8.620893660144167,2025-11-12 19:24:12.987463,2025-11-12 19:24:15.794699,0 days 00:00:02.807236,16,1.7400016433537542,4.774886824226307,19,66,0.11845090013329296,74.38996887239702,23.824428216761774,13,COMPLETE
17,4.6786779665824945,2025-11-12 19:24:15.794699,2025-11-12 19:24:18.626095,0 days 00:00:02.831396,13,1.9805096028868756,5.211028686383009,25,100,1.487538030780104,77.52858813524581,26.352517940520656,18,COMPLETE
18,5.877679182405584,2025-11-12 19:24:18.626095,2025-11-12 19:24:21.569811,0 days 00:00:02.943716,11,1.6660851194663042,4.344014274484932,10,88,1.05265536091985,65.09813121545729,29.062378242517987,20,COMPLETE
