number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
0,-inf,2025-11-12 20:36:28.629504,2025-11-12 20:36:31.994040,0 days 00:00:03.364536,11,0.8697003346018394,3.23235229154987,9,49,0.6410035105688879,73.97987726295555,22.34027960663655,18,COMPLETE
1,-inf,2025-11-12 20:36:31.995040,2025-11-12 20:36:35.175933,0 days 00:00:03.180893,12,1.0200854118241207,2.1084844859190754,12,20,0.5722807884690141,77.48663961200633,23.185086660174143,20,COMPLETE
2,-inf,2025-11-12 20:36:35.176936,2025-11-12 20:36:38.355153,0 days 00:00:03.178217,14,1.3472839810604431,3.070351922786027,9,29,0.2797064039425238,67.09240790978063,24.382169728028273,16,COMPLETE
3,-inf,2025-11-12 20:36:38.356153,2025-11-12 20:36:41.549157,0 days 00:00:03.193004,10,1.9386626447039998,3.4312640661491187,10,38,0.827557613304815,74.11317277852157,22.557861855309373,10,COMPLETE
4,-inf,2025-11-12 20:36:41.550157,2025-11-12 20:36:44.858060,0 days 00:00:03.307903,15,0.8412662253382621,3.318640804157564,8,23,0.3329019834400152,71.60228740609402,21.83057352267168,17,COMPLETE
5,-inf,2025-11-12 20:36:44.859059,2025-11-12 20:36:48.098539,0 days 00:00:03.239480,20,1.7301593880333375,3.3789978831283785,12,29,0.905344615384884,73.2006541901492,22.772816832882906,15,COMPLETE
6,-inf,2025-11-12 20:36:48.099539,2025-11-12 20:36:51.349950,0 days 00:00:03.250411,13,1.2664127476273785,2.0426980635477916,11,48,0.8458637582367364,67.93974293628717,20.67840933365807,10,COMPLETE
7,-inf,2025-11-12 20:36:51.350950,2025-11-12 20:36:54.704046,0 days 00:00:03.353096,10,1.9842643239206208,3.044489538593315,8,28,0.2788441133807552,67.11386337462145,32.032954711310595,15,COMPLETE
8,-inf,2025-11-12 20:36:54.704046,2025-11-12 20:36:57.914968,0 days 00:00:03.210922,10,1.230158874253127,1.7317381190502594,5,45,0.8767930832880342,75.9351075206148,31.569055200289185,17,COMPLETE
9,-inf,2025-11-12 20:36:57.915928,2025-11-12 20:37:01.249915,0 days 00:00:03.333987,18,1.5650689656262557,3.274425485152653,11,30,0.5249934326457544,69.66473482573494,24.877749830401207,10,COMPLETE
10,-inf,2025-11-12 20:37:01.250983,2025-11-12 20:37:04.907108,0 days 00:00:03.656125,17,0.8181730845233083,2.7467530372589306,15,41,0.613493078393515,78.98435512867681,27.820100177940517,20,COMPLETE
11,-inf,2025-11-12 20:37:04.908111,2025-11-12 20:37:08.211377,0 days 00:00:03.303266,12,1.067713887659074,2.2998680255351363,14,20,0.6042247752729017,78.0555286952787,27.392965554755733,20,COMPLETE
12,-inf,2025-11-12 20:37:08.212378,2025-11-12 20:37:11.412627,0 days 00:00:03.200249,12,1.0969090131231223,2.5194795978020785,13,35,0.478298529707474,75.81564006274253,27.030578283317634,19,COMPLETE
13,-inf,2025-11-12 20:37:11.413627,2025-11-12 20:37:14.554559,0 days 00:00:03.140932,12,1.012900493468314,1.8411565588177106,7,50,0.7169541473160408,79.99043657962326,20.081785843303194,18,COMPLETE
14,-inf,2025-11-12 20:37:14.555558,2025-11-12 20:37:17.799081,0 days 00:00:03.243523,11,0.8870665569067442,2.214302759914968,6,43,0.42706587913730065,76.68258804240726,25.01504130776193,12,COMPLETE
15,-inf,2025-11-12 20:37:17.800722,2025-11-12 20:37:21.140881,0 days 00:00:03.340159,14,1.501905122607917,1.531020763988454,10,34,0.70266184249249,71.1277720654289,29.650870845377824,19,COMPLETE
16,-inf,2025-11-12 20:37:21.140881,2025-11-12 20:37:24.502845,0 days 00:00:03.361964,16,0.9920013146830036,2.683257882817538,12,24,0.1118612929428312,74.38996887239702,23.824428216761774,13,COMPLETE
17,-inf,2025-11-12 20:37:24.502845,2025-11-12 20:37:27.806402,0 days 00:00:03.303557,13,1.1844076823095002,2.974019124255339,13,38,0.9919887340729243,77.52858813524581,26.352517940520656,18,COMPLETE
18,-inf,2025-11-12 20:37:27.807403,2025-11-12 20:37:31.093417,0 days 00:00:03.286014,11,0.9328680955730432,2.3960095163232884,9,33,0.712421303448475,65.09813121545729,29.062378242517987,20,COMPLETE
19,-inf,2025-11-12 20:37:31.094416,2025-11-12 20:37:34.499842,0 days 00:00:03.405426,14,1.429429104943807,2.0410836885510557,15,47,0.4004162981080166,74.67717596207042,21.112319509070417,18,COMPLETE
20,-inf,2025-11-12 20:37:34.499842,2025-11-12 20:37:37.982397,0 days 00:00:03.482555,11,1.1321872253758536,2.721883997377959,11,39,0.6342393324988401,72.68258863783619,34.17643633383103,14,COMPLETE
21,-inf,2025-11-12 20:37:37.983397,2025-11-12 20:37:41.417552,0 days 00:00:03.434155,14,1.3030331801607793,3.0897092014858547,9,25,0.1849929927866159,68.95931770248126,24.2388745505086,16,COMPLETE
22,-inf,2025-11-12 20:37:41.417552,2025-11-12 20:37:44.888492,0 days 00:00:03.470940,13,1.6407469336036995,2.9040029537772116,9,20,0.53600098918279,70.5811480501401,23.34942973240883,16,COMPLETE
23,-inf,2025-11-12 20:37:44.888492,2025-11-12 20:37:48.125916,0 days 00:00:03.237424,15,1.3571501599298224,3.136788813745899,8,27,0.31915901044107464,65.27468297135768,25.67364093682178,19,COMPLETE
24,-inf,2025-11-12 20:37:48.126914,2025-11-12 20:37:51.801070,0 days 00:00:03.674156,12,0.9626274863348353,2.5507251110789526,7,31,0.4340326623430584,66.92271763337202,22.13356436915238,17,COMPLETE
25,-inf,2025-11-12 20:37:51.802070,2025-11-12 20:37:55.132919,0 days 00:00:03.330849,15,1.8595449312052823,3.206602529639006,10,22,0.1857640500120633,75.1881673314141,23.82013995951084,16,COMPLETE
26,-inf,2025-11-12 20:37:55.132919,2025-11-12 20:37:58.688830,0 days 00:00:03.555911,13,0.8071103372441176,2.9127602870375444,12,26,0.7624989837041434,73.60930793266968,21.463042765477052,19,COMPLETE
27,-inf,2025-11-12 20:37:58.689827,2025-11-12 20:38:02.392757,0 days 00:00:03.702930,11,1.451559100895034,3.4790841528148992,9,32,0.6485441231867456,71.98588213777236,25.58232956853944,18,COMPLETE
28,-inf,2025-11-12 20:38:02.393757,2025-11-12 20:38:05.933155,0 days 00:00:03.539398,16,1.1812493292039103,2.0321102452071464,7,36,0.49555937010597784,77.10542634825204,23.020646397864432,14,COMPLETE
29,-inf,2025-11-12 20:38:05.934157,2025-11-12 20:38:09.475268,0 days 00:00:03.541111,10,1.0400649771993782,2.152853810084865,10,37,0.36690471395517665,79.25358990861487,22.47311711891675,17,COMPLETE
30,-inf,2025-11-12 20:38:09.475268,2025-11-12 20:38:13.125222,0 days 00:00:03.649954,19,0.9026834084771896,1.9001601209739365,13,41,0.7831757944896734,70.02690728939096,20.03461289069137,20,COMPLETE
31,-inf,2025-11-12 20:38:13.126220,2025-11-12 20:38:17.123613,0 days 00:00:03.997393,10,1.7585345479802257,3.458043928825152,10,45,0.564396291299723,73.90877716647003,21.777265594443914,11,COMPLETE
32,-inf,2025-11-12 20:38:17.124615,2025-11-12 20:38:20.852352,0 days 00:00:03.727737,11,1.976707826251484,3.3014617022878485,11,22,0.991671279855518,72.37048860130385,22.838291641871894,14,COMPLETE
33,-inf,2025-11-12 20:38:20.853353,2025-11-12 20:38:24.483558,0 days 00:00:03.630205,12,1.6375362331690346,3.3044823201578497,8,50,0.8275681098338208,75.66196580376457,24.50871719548052,12,COMPLETE
34,-inf,2025-11-12 20:38:24.484558,2025-11-12 20:38:28.139663,0 days 00:00:03.655105,10,1.3388374827751681,3.3810051098061735,11,29,0.92066882247466,73.21417129711807,21.03551214436676,15,COMPLETE
35,-inf,2025-11-12 20:38:28.140663,2025-11-12 20:38:31.766027,0 days 00:00:03.625364,13,1.817815793400946,3.1403849286179377,9,41,0.9189940467442944,71.53117041742631,22.08635245529401,17,COMPLETE
36,-inf,2025-11-12 20:38:31.767026,2025-11-12 20:38:35.146705,0 days 00:00:03.379679,14,1.2321793230092513,2.9987061515892632,10,44,0.2494885318637277,68.53770627873496,23.284787675507342,15,COMPLETE
37,-inf,2025-11-12 20:38:35.147704,2025-11-12 20:38:38.622349,0 days 00:00:03.474645,10,1.5863624357844224,2.8482112785007034,12,48,0.804380318399222,66.55291102182869,25.935893426090004,10,COMPLETE
38,-inf,2025-11-12 20:38:38.629347,2025-11-12 20:38:41.922720,0 days 00:00:03.293373,11,1.8857159230277614,3.213675353979103,8,28,0.6769338754590758,76.42582250670368,20.81239016896944,16,COMPLETE
39,-inf,2025-11-12 20:38:41.922720,2025-11-12 20:38:45.513861,0 days 00:00:03.591141,16,0.8676972498563611,3.39427581346553,6,23,0.6001724763521067,77.97061064961242,28.428657232154663,11,COMPLETE
40,-inf,2025-11-12 20:38:45.514863,2025-11-12 20:38:48.825877,0 days 00:00:03.311014,12,1.1498452575148794,1.6232406348115813,14,39,0.7531700604931831,74.61642896578675,25.121911397198733,19,COMPLETE
41,-inf,2025-11-12 20:38:48.826394,2025-11-12 20:38:52.310511,0 days 00:00:03.484117,18,0.8616634656867305,3.3231287657883826,8,20,0.32318155004364735,67.8613448679332,22.352554625509924,17,COMPLETE
42,-inf,2025-11-12 20:38:52.311509,2025-11-12 20:38:55.730184,0 days 00:00:03.418675,15,1.0788562283059568,3.2064491903417354,11,25,0.46463648766452365,72.80256662617172,23.64316976755987,18,COMPLETE
43,-inf,2025-11-12 20:38:55.731185,2025-11-12 20:38:59.006593,0 days 00:00:03.275408,17,0.8267858848717401,3.4273495051416685,7,21,0.2601821499653447,66.01305220654369,21.494518318061854,16,COMPLETE
44,-inf,2025-11-12 20:38:59.006593,2025-11-12 20:39:02.275705,0 days 00:00:03.269112,15,0.9514150317539867,3.076866899367967,9,29,0.3461313453209289,71.01621534193914,24.22854253537256,17,COMPLETE
45,-inf,2025-11-12 20:39:02.276705,2025-11-12 20:39:05.564681,0 days 00:00:03.287976,20,0.9994033348788737,2.3589763381159363,6,23,0.562572320862264,75.37879721674877,22.835762309631843,18,COMPLETE
